date,home_team,away_team,home_score,away_score,tournament,city,country,neutral
03/06/18,Barawa,Ellan Vannin,2,0,CONIFA World Football Cup,Rotherhithe,England,FALSE
03/06/18,Abkhazia,Northern Cyprus,2,2,CONIFA World Football Cup,Enfield,England,TRUE
03/06/18,Kárpátalja,Tibet,5,1,CONIFA World Football Cup,Bracknell,England,TRUE
03/06/18,Padania,Székely Land,3,1,CONIFA World Football Cup,Bedfont,England,TRUE
03/06/18,Tuvalu,Matabeleland,1,3,CONIFA World Football Cup,Haringey,England,TRUE
03/06/18,Panjab,United Koreans in Japan,1,1,CONIFA World Football Cup,Slough,England,TRUE
03/06/18,Western Armenia,Kabylia,4,0,CONIFA World Football Cup,Enfield,England,TRUE
04/06/18,Italy,Netherlands,1,1,Friendly,Turin,Italy,FALSE
04/06/18,Serbia,Chile,0,1,Friendly,Graz,Austria,TRUE
04/06/18,Slovakia,Morocco,1,2,Friendly,Geneva,Switzerland,TRUE
04/06/18,Armenia,Moldova,0,0,Friendly,Kematen,Austria,TRUE
04/06/18,India,Kenya,3,0,Intercontinental Cup,Mumbai,India,FALSE
05/06/18,Russia,Turkey,1,1,Friendly,Moscow,Russia,FALSE
05/06/18,Romania,Finland,2,0,Friendly,Ploiești,Romania,FALSE
05/06/18,Luxembourg,Georgia,1,0,Friendly,Luxembourg,Luxembourg,FALSE
05/06/18,Kazakhstan,Azerbaijan,3,0,Friendly,Astana,Kazakhstan,FALSE
05/06/18,Martinique,French Guiana,3,0,Friendly,Fort-de-France,Martinique,FALSE
05/06/18,Lithuania,Latvia,1,1,Baltic Cup,Vilnius,Lithuania,FALSE
05/06/18,Taiwan,New Zealand,0,1,Intercontinental Cup,Mumbai,India,TRUE
05/06/18,South Africa,Namibia,4,1,COSAFA Cup,Polokwane,South Africa,FALSE
05/06/18,Eswatini,Botswana,0,2,COSAFA Cup,Polokwane,South Africa,TRUE
05/06/18,Matabeleland,Kabylia,0,0,CONIFA World Football Cup,Enfield,England,TRUE
05/06/18,Abkhazia,Tamil Eelam,6,0,CONIFA World Football Cup,Aveley,England,TRUE
